Air Quality Station EoI Code,Year,NO2,O3,PM10,PM2_5,Altitude,Latitude,Longitude,Station_Type,Station_Area,City,Green_Ratio,Population_Density
IT0614A,2020,9.032,,17.6,10.6,35.0,37.1561,15.1909,Background,Urban,Priolo Gargallo,0.7496742652980837,194.0
IT0614A,2021,10.768,,17.1,8.7,35.0,37.1561,15.1909,Background,Urban,Priolo Gargallo,0.7496742652980837,194.0
IT0614A,2022,11.892,,17.2,9.8,35.0,37.1561,15.1909,Background,Urban,Priolo Gargallo,0.7496742652980837,194.0
IT0614A,2023,10.34,,17.5,9.8,35.0,37.1561,15.1909,Background,Urban,Priolo Gargallo,0.7496742652980837,194.0
IT0614A,2024,11.69,,19.8,10.1,35.0,37.1561,15.1909,Background,Urban,Priolo Gargallo,0.7496742652980837,194.0
IT0663A,2018,15.652,60.208,22.0,16.0,190.0,45.7144,11.3686,Background,Urban,Schio,0.8158418585078954,595.0
IT0663A,2019,17.333,53.292,20.0,14.0,190.0,45.7144,11.3686,Background,Urban,Schio,0.8158418585078954,595.0
IT0663A,2020,12.304,57.565,20.0,13.0,190.0,45.7144,11.3686,Background,Urban,Schio,0.8158418585078954,595.0
IT0663A,2021,16.5,62.0,19.0,14.0,190.0,45.7144,11.3686,Background,Urban,Schio,0.8158418585078954,595.0
IT0663A,2022,19.667,64.136,20.0,14.0,190.0,45.7144,11.3686,Background,Urban,Schio,0.8158418585078954,595.0
IT0663A,2023,13.174,62.087,18.0,13.0,190.0,45.7144,11.3686,Background,Urban,Schio,0.8158418585078954,595.0
IT0663A,2024,12.565,54.739,19.0,13.0,190.0,45.7144,11.3686,Background,Urban,Schio,0.8158418585078954,595.0
IT0692A,2015,22.033,,27.465,18.805,87.0,45.1017,8.9056,Industrial,Urban,Sannazzaro de' Burgondi,0.8297050050220529,
IT0692A,2016,22.737,,24.31,15.343,87.0,45.1017,8.9056,Industrial,Urban,Sannazzaro de' Burgondi,0.8297050050220529,
IT0692A,2017,23.106,,25.066,16.183,87.0,45.1017,8.9056,Industrial,Urban,Sannazzaro de' Burgondi,0.8297050050220529,
IT0692A,2018,18.977,,24.901,17.265,87.0,45.1017,8.9056,Industrial,Urban,Sannazzaro de' Burgondi,0.8297050050220529,
IT0692A,2019,20.322,,23.683,16.594,87.0,45.1017,8.9056,Industrial,Urban,Sannazzaro de' Burgondi,0.8297050050220529,
IT0692A,2020,18.189,,20.157,15.369,87.0,45.1017,8.9056,Industrial,Urban,Sannazzaro de' Burgondi,0.8297050050220529,
IT0692A,2021,20.051,,24.223,16.285,87.0,45.1017,8.9056,Industrial,Urban,Sannazzaro de' Burgondi,0.8297050050220529,
IT0692A,2022,18.436,,24.445,16.459,87.0,45.1017,8.9056,Industrial,Urban,Sannazzaro de' Burgondi,0.8297050050220529,
IT0692A,2023,14.678,,22.288,13.869,87.0,45.1017,8.9056,Industrial,Urban,Sannazzaro de' Burgondi,0.8297050050220529,
IT0692A,2024,14.694,,24.193,14.189,87.0,45.1017,8.9056,Industrial,Urban,Sannazzaro de' Burgondi,0.8297050050220529,
IT0703A,2015,21.333,42.542,22.0,17.0,380.0,46.0518,11.4539,Background,Suburban,Borgo Valsugana,0.9485747519359675,137.0
IT0703A,2016,20.75,37.833,19.0,15.0,380.0,46.0518,11.4539,Background,Suburban,Borgo Valsugana,0.9485747519359675,137.0
IT0703A,2017,21.542,42.042,21.0,14.0,380.0,46.0518,11.4539,Background,Suburban,Borgo Valsugana,0.9485747519359675,137.0
IT0703A,2018,19.625,40.75,21.0,12.0,380.0,46.0518,11.4539,Background,Suburban,Borgo Valsugana,0.9485747519359675,137.0
IT0703A,2019,20.333,38.875,20.0,13.0,380.0,46.0518,11.4539,Background,Suburban,Borgo Valsugana,0.9485747519359675,137.0
IT0703A,2020,15.628,40.682,19.0,12.0,380.0,46.0518,11.4539,Background,Suburban,Borgo Valsugana,0.9485747519359675,137.0
IT0703A,2021,17.578,42.661,19.84,12.57,380.0,46.0518,11.4539,Background,Suburban,Borgo Valsugana,0.9485747519359675,137.0
IT0703A,2022,18.611,45.475,20.1,14.08,380.0,46.0518,11.4539,Background,Suburban,Borgo Valsugana,0.9485747519359675,137.0
IT0703A,2023,17.772,45.28,17.34,12.37,380.0,46.0518,11.4539,Background,Suburban,Borgo Valsugana,0.9485747519359675,137.0
IT0703A,2024,14.331,39.419,18.58,12.73,380.0,46.0518,11.4539,Background,Suburban,Borgo Valsugana,0.9485747519359675,137.0
IT0707A,2015,30.353,48.139,27.1,20.7,249.0,45.6903,9.6439,Background,Urban,Bergamo,0.5042676573215039,2980.0
IT0707A,2016,25.536,47.614,23.9,17.5,249.0,45.6903,9.6439,Background,Urban,Bergamo,0.5042676573215039,2980.0
IT0707A,2017,31.854,47.102,27.0,19.5,249.0,45.6903,9.6439,Background,Urban,Bergamo,0.5042676573215039,2980.0
IT0707A,2019,23.599,52.219,21.8,16.3,249.0,45.6903,9.6439,Background,Urban,Bergamo,0.5042676573215039,2980.0
IT0707A,2020,17.517,57.112,21.6,17.3,249.0,45.6903,9.6439,Background,Urban,Bergamo,0.5042676573215039,2980.0
IT0707A,2021,27.893,53.777,19.7,14.4,249.0,45.6903,9.6439,Background,Urban,Bergamo,0.5042676573215039,2980.0
IT0707A,2022,29.294,50.817,23.1,18.6,249.0,45.6903,9.6439,Background,Urban,Bergamo,0.5042676573215039,2980.0
IT0707A,2023,24.315,51.562,21.3,16.5,249.0,45.6903,9.6439,Background,Urban,Bergamo,0.5042676573215039,2980.0
IT0707A,2024,20.327,55.331,18.1,12.9,249.0,45.6903,9.6439,Background,Urban,Bergamo,0.5042676573215039,2980.0
IT0771A,2015,45.903,,27.4,21.0,201.0,45.8044,9.0836,Traffic,Urban,Como,0.4897858537545292,2246.0
IT0771A,2016,43.567,,24.3,18.6,201.0,45.8044,9.0836,Traffic,Urban,Como,0.4897858537545292,2246.0
IT0771A,2017,45.533,,26.7,20.3,201.0,45.8044,9.0836,Traffic,Urban,Como,0.4897858537545292,2246.0
IT0771A,2019,36.581,,21.6,16.6,201.0,45.8044,9.0836,Traffic,Urban,Como,0.4897858537545292,2246.0
IT0771A,2020,27.465,,22.8,17.3,201.0,45.8044,9.0836,Traffic,Urban,Como,0.4897858537545292,2246.0
IT0771A,2021,32.484,,23.2,17.2,201.0,45.8044,9.0836,Traffic,Urban,Como,0.4897858537545292,2246.0
IT0771A,2022,32.389,49.821,23.938,15.182,201.0,45.8044,9.0836,Traffic,Urban,Como,0.4897858537545292,2246.0
IT0771A,2023,27.752,54.176,18.933,11.867,201.0,45.8044,9.0836,Traffic,Urban,Como,0.4897858537545292,2246.0
IT0771A,2024,29.467,43.712,18.646,11.783,201.0,45.8044,9.0836,Traffic,Urban,Como,0.4897858537545292,2246.0
IT0777A,2015,41.257,,32.8,23.0,292.0,45.698,9.4062,Traffic,Urban,Merate,0.6506756582781469,1331.0
IT0777A,2016,40.983,,30.1,19.7,292.0,45.698,9.4062,Traffic,Urban,Merate,0.6506756582781469,1331.0
IT0777A,2017,40.152,,29.9,18.4,292.0,45.698,9.4062,Traffic,Urban,Merate,0.6506756582781469,1331.0
