"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Italy","2023","Total","Female","Bolzano","City proper","Estimate - de jure","Final figure, complete","2024","55164",""
"Italy","2023","Total","Female","Brescia","City proper","Estimate - de jure","Final figure, complete","2024","102413",""
"Italy","2023","Total","Female","Cagliari","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","79242",""
"Italy","2023","Total","Female","Catania","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","155474",""
"Italy","2023","Total","Female","Ferrara","City proper","Estimate - de jure","Final figure, complete","2024","67986",""
"Italy","2023","Total","Female","Firenze","City proper","Estimate - de jure","Final figure, complete","2024","191397",""
"Italy","2023","Total","Female","Foggia","City proper","Estimate - de jure","Final figure, complete","2024","74269",""
"Italy","2023","Total","Female","Forli","City proper","Estimate - de jure","Final figure, complete","2024","59983",""
"Italy","2023","Total","Female","Genova","City proper","Estimate - de jure","Final figure, complete","2024","293476",""
"Italy","2023","Total","Female","Latina","City proper","Estimate - de jure","Final figure, complete","2024","65220",""
"Italy","2023","Total","Female","Livorno","City proper","Estimate - de jure","Final figure, complete","2024","79786",""
"Italy","2023","Total","Female","Messina","City proper","Estimate - de jure","Final figure, complete","2024","114123",""
"Italy","2023","Total","Female","Milano","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","1839111",""
"Italy","2023","Total","Female","Modena","City proper","Estimate - de jure","Final figure, complete","2024","95309",""
"Italy","2023","Total","Female","Napoli","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","1445196",""
"Italy","2023","Total","Female","Novara","City proper","Estimate - de jure","Final figure, complete","2024","52450",""
"Italy","2023","Total","Female","Padova","City proper","Estimate - de jure","Final figure, complete","2024","108257",""
"Italy","2023","Total","Female","Palermo","City proper","Estimate - de jure","Final figure, complete","2024","330228",""
"Italy","2023","Total","Female","Parma","City proper","Estimate - de jure","Final figure, complete","2024","101550",""
"Italy","2023","Total","Female","Perugia","City proper","Estimate - de jure","Final figure, complete","2024","84371",""
"Italy","2023","Total","Female","Pescara","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","62637",""
"Italy","2023","Total","Female","Piacenza","City proper","Estimate - de jure","Final figure, complete","2024","53082",""
"Italy","2023","Total","Female","Prato","City proper","Estimate - de jure","Final figure, complete","2024","100211",""
"Italy","2023","Total","Female","Ravenna","City proper","Estimate - de jure","Final figure, complete","2024","80181",""
"Italy","2023","Total","Female","Reggio di Calabria","City proper","Estimate - de jure","Final figure, complete","2024","89235",""
"Italy","2023","Total","Female","Reggio nell'Emilia","City proper","Estimate - de jure","Final figure, complete","2024","86303",""
"Italy","2023","Total","Female","Rimini","City proper","Estimate - de jure","Final figure, complete","2024","77678",""
"Italy","2023","Total","Female","ROMA","City proper","Estimate - de jure","Final figure, complete","2024","1446491",""
"Italy","2023","Total","Female","Salerno","City proper","Estimate - de jure","Final figure, complete","2024","67657",""
"Italy","2023","Total","Female","Sassari","City proper","Estimate - de jure","Final figure, complete","2024","62986",""
"Italy","2023","Total","Female","Siracusa","City proper","Estimate - de jure","Final figure, complete","2024","59509",""
"Italy","2023","Total","Female","Taranto","City proper","Estimate - de jure","Final figure, complete","2024","98150",""
"Italy","2023","Total","Female","Terni","City proper","Estimate - de jure","Final figure, complete","2024","55905",""
"Italy","2023","Total","Female","Torino","City proper","Estimate - de jure","Final figure, complete","2024","440680",""
"Italy","2023","Total","Female","Trento","City proper","Estimate - de jure","Final figure, complete","2024","60850",""
"Italy","2023","Total","Female","Trieste","City proper","Estimate - de jure","Final figure, complete","2024","103195",""
"Italy","2023","Total","Female","Venezia","City proper","Estimate - de jure","Final figure, complete","2024","130370",""
"Italy","2023","Total","Female","Verona","City proper","Estimate - de jure","Final figure, complete","2024","133769",""
"Italy","2023","Total","Female","Vicenza","City proper","Estimate - de jure","Final figure, complete","2024","57335",""
"Italy","2021","Total","Both Sexes","Bari","City proper","Estimate - de jure","Final figure, complete","2022","316577","1"
"Italy","2021","Total","Both Sexes","Bergamo","City proper","Estimate - de jure","Final figure, complete","2022","119735","1"
"Italy","2021","Total","Both Sexes","Bologna","City proper","Estimate - de jure","Final figure, complete","2022","389764","1"
"Italy","2021","Total","Both Sexes","Bolzano","City proper","Estimate - de jure","Final figure, complete","2022","107034","1"
"Italy","2021","Total","Both Sexes","Brescia","City proper","Estimate - de jure","Final figure, complete","2022","196605","1"
"Italy","2021","Total","Both Sexes","Cagliari","City proper","Estimate - de jure","Final figure, complete","2022","149332","1"
"Italy","2021","Total","Both Sexes","Catania","City proper","Estimate - de jure","Final figure, complete","2022","300730","1"
"Italy","2021","Total","Both Sexes","Ferrara","City proper","Estimate - de jure","Final figure, complete","2022","130771","1"
"Italy","2021","Total","Both Sexes","Firenze","City proper","Estimate - de jure","Final figure, complete","2022","365019","1"
"Italy","2021","Total","Both Sexes","Foggia","City proper","Estimate - de jure","Final figure, complete","2022","147135","1"
"Italy","2021","Total","Both Sexes","Forli","City proper","Estimate - de jure","Final figure, complete","2022","116983","1"
"Italy","2021","Total","Both Sexes","Genova","City proper","Estimate - de jure","Final figure, complete","2022","563807","1"
"Italy","2021","Total","Both Sexes","Giugliano in Campania","City proper","Estimate - de jure","Final figure, complete","2022","123061","1"
"Italy","2021","Total","Both Sexes","Latina","City proper","Estimate - de jure","Final figure, complete","2022","127711","1"
"Italy","2021","Total","Both Sexes","Livorno","City proper","Estimate - de jure","Final figure, complete","2022","154927","1"
"Italy","2021","Total","Both Sexes","Messina","City proper","Estimate - de jure","Final figure, complete","2022","221788","1"
"Italy","2021","Total","Both Sexes","Milano","City proper","Estimate - de jure","Final figure, complete","2022","1362256","1"
"Italy","2021","Total","Both Sexes","Modena","City proper","Estimate - de jure","Final figure, complete","2022","185693","1"
"Italy","2021","Total","Both Sexes","Monza","City proper","Estimate - de jure","Final figure, complete","2022","122253","1"
"Italy","2021","Total","Both Sexes","Napoli","City proper","Estimate - de jure","Final figure, complete","2022","921618","1"
"Italy","2021","Total","Both Sexes","Novara","City proper","Estimate - de jure","Final figure, complete","2022","101796","1"
"Italy","2021","Total","Both Sexes","Padova","City proper","Estimate - de jure","Final figure, complete","2022","208191","1"
"Italy","2021","Total","Both Sexes","Palermo","City proper","Estimate - de jure","Final figure, complete","2022","636662","1"
"Italy","2021","Total","Both Sexes","Parma","City proper","Estimate - de jure","Final figure, complete","2022","195717","1"
"Italy","2021","Total","Both Sexes","Perugia","City proper","Estimate - de jure","Final figure, complete","2022","163542","1"
"Italy","2021","Total","Both Sexes","Pescara","City proper","Estimate - de jure","Final figure, complete","2022","118879","1"
"Italy","2021","Total","Both Sexes","Piacenza","City proper","Estimate - de jure","Final figure, complete","2022","102548","1"
"Italy","2021","Total","Both Sexes","Prato","City proper","Estimate - de jure","Final figure, complete","2022","198312","1"
"Italy","2021","Total","Both Sexes","Ravenna","City proper","Estimate - de jure","Final figure, complete","2022","156150","1"
"Italy","2021","Total","Both Sexes","Reggio di Calabria","City proper","Estimate - de jure","Final figure, complete","2022","172753","1"
"Italy","2021","Total","Both Sexes","Reggio nell'Emilia","City proper","Estimate - de jure","Final figure, complete","2022","170255","1"
"Italy","2021","Total","Both Sexes","Rimini","City proper","Estimate - de jure","Final figure, complete","2022","149705","1"
"Italy","2021","Total","Both Sexes","ROMA","City proper","Estimate - de jure","Final figure, complete","2022","2759629","1"
"Italy","2021","Total","Both Sexes","Salerno","City proper","Estimate - de jure","Final figure, complete","2022","128671","1"
"Italy","2021","Total","Both Sexes","Sassari","City proper","Estimate - de jure","Final figure, complete","2022","122333","1"
"Italy","2021","Total","Both Sexes","Siracusa","City proper","Estimate - de jure","Final figure, complete","2022","117054","1"
"Italy","2021","Total","Both Sexes","Taranto","City proper","Estimate - de jure","Final figure, complete","2022","190089","1"
"Italy","2021","Total","Both Sexes","Terni","City proper","Estimate - de jure","Final figure, complete","2022","107574","1"
"Italy","2021","Total","Both Sexes","Torino","City proper","Estimate - de jure","Final figure, complete","2022","853477","1"
"Italy","2021","Total","Both Sexes","Trento","City proper","Estimate - de jure","Final figure, complete","2022","118363","1"
"Italy","2021","Total","Both Sexes","Trieste","City proper","Estimate - de jure","Final figure, complete","2022","199812","1"
"Italy","2021","Total","Both Sexes","Venezia","City proper","Estimate - de jure","Final figure, complete","2022","254014","1"
"Italy","2021","Total","Both Sexes","Verona","City proper","Estimate - de jure","Final figure, complete","2022","257008","1"
"Italy","2021","Total","Both Sexes","Vicenza","City proper","Estimate - de jure","Final figure, complete","2022","110703","1"
"Italy","2021","Total","Male","Bari","City proper","Estimate - de jure","Final figure, complete","2022","152003","1"
"Italy","2021","Total","Male","Bergamo","City proper","Estimate - de jure","Final figure, complete","2022","56729","1"
"Italy","2021","Total","Male","Bologna","City proper","Estimate - de jure","Final figure, complete","2022","185191","1"
"Italy","2021","Total","Male","Bolzano","City proper","Estimate - de jure","Final figure, complete","2022","51678","1"
"Italy","2021","Total","Male","Brescia","City proper","Estimate - de jure","Final figure, complete","2022","94246","1"
"Italy","2021","Total","Male","Cagliari","City proper","Estimate - de jure","Final figure, complete","2022","69334","1"
"Italy","2021","Total","Male","Catania","City proper","Estimate - de jure","Final figure, complete","2022","144317","1"
