eoi_code,city,lat,lon,openaq_found,openaq_id,openaq_name
IT0956A,Roma,41.8577,12.5687,1,7558.0,Cinecitta
IT0957A,Roma,41.9295,12.6585,3,7552.0,Cavaliere
IT0963A,Venezia,45.4992,12.2622,1,7678.0,VE - Parco Bissuola
IT0966A,Udine,46.0661,13.2406,2,2163010.0,Udine - via S.Daniele
IT0983A,Aosta,45.7358,7.3242,4,275223.0,balcone 4° piano durante la nevicata
IT0989A,Leonessa,42.5726,12.9621,2,7555.0,LEONESSA
IT0992A,Fontechiari,41.6692,13.6743,2,7565.0,Fontechiari
IT1011A,Terni,42.56,12.6508,2,8304.0,CARRARA
IT1016A,Milano (greater city),45.4697,9.1981,2,8303.0,MILANO - SENATO
IT1026A,Busalla,44.5695,8.9468,3,221593.0,IT1026A
IT1030A,Faenza,44.2833,11.8706,1,7617.0,PARCO BERTOZZI
IT1037A,Trento,46.0629,11.1262,2,8436.0,IT1037A
IT1043A,Rimini,44.0625,12.5533,1,8299.0,MARECCHIA
IT1048A,Forlì,44.2192,12.0489,4,7237.0,ROMA
IT1065A,Bassano del Grappa,45.7608,11.7367,1,8060.0,BASSANO DEL GRAPPA
IT1078A,Palermo,38.111,13.3503,2,2162943.0,PA - Indipendenza
IT1079A,Palermo,38.1244,13.3542,1,2162942.0,PA - Castelnuovo
IT1110A,Pisa,43.7389,10.4017,1,8294.0,PI-PASSI
IT1128A,Borgaro Torinese,45.1546,7.658,1,8430.0,Borgaro T. - Caduti
IT1130A,Settimo Torinese,45.1432,7.7782,1,8429.0,Settimo T. - Vivaldi
IT1137A,Trieste,45.6572,13.7722,0,,
IT1143A,Vado Ligure,44.2725,8.4389,1,221500.0,VIA AURELIA - VIA FERRARIS - VADO L.
IT1144A,Quiliano,44.2871,8.4317,1,2162920.0,MERCATO GENERALE - QUILIANO
IT1145A,Savona,44.3127,8.4729,3,221506.0,IT1145A
IT1153A,Cremona,45.1328,10.0167,1,8291.0,CREMONA - P.ZZA CADORNA
IT1159A,Bologna,44.4997,11.3283,2,7631.0,PORTA SAN FELICE
IT1166A,Tolmezzo,46.4019,13.0111,2,2163008.0,Tolmezzo - IFS
IT1170A,Udine,46.0351,13.2253,1,2163012.0,Udine - S.Osvaldo
IT1177A,Vicenza,45.5606,11.5397,1,8155.0,VI - Quartiere Italia
IT1179A,Jolanda di Savoia,44.8397,11.9611,2,7629.0,GHERARDI
IT1180A,Perugia,43.1031,12.3661,2,8191.0,CORTONESE
IT1182A,Perugia,43.0889,12.4419,1,8205.0,P.S.GIOVANNI
IT1183A,Cassino,41.4885,13.8307,3,7550.0,Cassino
IT1184A,Latina,41.5314,12.9466,2,7548.0,Latina-Scalo
IT1186A,Viareggio,43.8839,10.245,1,8426.0,LU-VIAREGGIO
IT1187A,Capannori,43.8408,10.5739,1,8425.0,LU-CAPANNORI
IT1204A,Ravenna,44.42,12.2256,2,7610.0,CAORLE
IT1215A,Rovigo,45.0747,11.7833,1,8048.0,RO - Largo Martiri
IT1222A,San Donà di Piave,45.6303,12.5917,1,8421.0,SAN DONA' DI PIAVE
IT1232A,Cairo Montenotte,44.3824,8.2807,2,221498.0,IT2107A
IT1247A,Biella,45.5588,8.0564,1,8419.0,Biella - Sturzo
IT1264A,Pescara,42.4664,14.2131,1,7793.0,PE - VIA FIRENZE
IT1269A,Sarroch,39.07,9.0167,1,8096.0,CENSA3
IT1286A,Lodi,45.3053,9.4856,2,8242.0,LODI S.ALBERTO
IT1294A,Turbigo,45.5258,8.7367,1,8163.0,TURBIGO
IT1328A,Conegliano,45.8906,12.3081,1,8418.0,CONEGLIANO
IT1343A,Verona,45.4625,10.9122,0,,
IT1361A,Fano,43.8397,13.0186,1,8221.0,VIA MONTEGRAPPA
IT1365A,Terni,42.5819,12.6236,1,8201.0,BORGO RIVO
IT1378A,Oristano,39.8989,8.5978,0,,
IT1385A,Darfo Boario Terme,45.8739,10.1775,1,8270.0,IT1385A
IT1388A,Ponti sul Mincio,45.4108,10.6919,1,8269.0,PONTI SUL MINCIO
IT1409A,Pisa,43.7139,10.4106,1,8267.0,PI-BORGHETTO
IT1423A,Pescara,42.4564,14.2347,1,7775.0,PE - TEATRO D'ANNUNZIO
IT1451A,Molinella,44.6622,11.6394,1,8260.0,SAN PIETRO CAPOFIUME
IT1453A,Padova,45.3719,11.8419,1,8414.0,PD - Mandria
IT1456A,La Spezia,44.1108,9.8321,2,221601.0,IT1456A
IT1457A,La Spezia,44.1016,9.8187,2,221594.0,IT1886A
IT1464A,Casirate d'Adda,45.4975,9.5564,1,8038.0,CASIRATE D'ADDA
IT1475A,Trieste,45.6242,13.7803,0,,
IT1486A,Caserta,41.0844,14.3447,2,8412.0,IT1487A
IT1487A,Caserta,41.078,14.3312,2,8412.0,IT1487A
IT1488A,Maddaloni,41.0459,14.3781,1,8596.0,CE54 SCUOLA SETTEMBRINI
IT1493A,Napoli (greater city),40.8643,14.3411,1,8410.0,NA09 I.T.I.S. ARGINE
IT1497A,Napoli (greater city),40.8637,14.2545,2,8408.0,IT1497A
IT1504A,Salerno,40.6839,14.7697,1,8407.0,SA22 Ospedale via Vernieri
IT1510A,Verbania,45.9303,8.5655,1,8405.0,Verbania - Gabardi
IT1518A,Novara,45.4383,8.6206,2,8376.0,Novara - Roma
IT1523A,Asti,44.9089,8.2055,1,8403.0,Asti - D'Acquisto
IT1529A,Cuneo,44.3818,7.5382,1,8401.0,Cuneo - Alpini
IT1532A,Borgosesia,45.7132,8.2835,1,8400.0,Borgosesia - Tonella
