openaq_id,date,Year,Month,PM2_5,PM2_5_lag1,PM2_5_lag2,PM2_5_lag3,PM2_5_roll3_mean,PM2_5_roll3_std,PM10_lag1,NO2_lag1,O3_lag1,Temp_Mean_lag1,Wind_Speed_lag1,Precipitation_lag1,month_num,month_sin,month_cos,Green_Ratio,Latitude,Longitude
IT0703A,2023-01-01,2023,1,22.2,19.0,23.2,15.4,19.2,3.903844259188757,24.0,31.9,13.5,-5.561290322580645,3.4129032258064513,98.4,1,0.49999999999999994,0.8660254037844387,0.9485747519359676,46.0518,11.4539
IT0703A,2023-02-01,2023,2,14.2,22.2,19.0,23.2,21.466666666666665,2.193931022920811,34.4,41.6,14.4,-5.945161290322581,3.941935483870968,69.8,2,0.8660254037844386,0.5000000000000001,0.9485747519359676,46.0518,11.4539
IT0703A,2023-03-01,2023,3,8.15,14.2,22.2,19.0,18.466666666666665,4.026578365477859,28.0,21.7,55.7,-3.882142857142857,4.392857142857143,4.8,3,1.0,6.123233995736766e-17,0.9485747519359676,46.0518,11.4539
IT0703A,2023-04-01,2023,4,6.83,8.15,14.2,22.2,14.85,7.047517293345295,13.4,17.4,60.4,-1.3935483870967742,4.254838709677419,40.3,4,0.8660254037844387,-0.49999999999999983,0.9485747519359676,46.0518,11.4539
IT0703A,2023-05-01,2023,5,9.06,6.83,8.15,14.2,9.726666666666667,3.9298388431759252,11.2,12.3,55.3,-0.5399999999999999,4.093333333333333,148.0,5,0.49999999999999994,-0.8660254037844387,0.9485747519359676,46.0518,11.4539
IT0703A,2023-06-01,2023,6,8.97,9.06,6.83,8.15,8.013333333333334,1.1212641675066097,15.7,11.0,77.0,4.458064516129032,3.758064516129033,256.6,6,1.2246467991473532e-16,-1.0,0.9485747519359676,46.0518,11.4539
IT0703A,2023-07-01,2023,7,8.55,8.97,9.06,6.83,8.286666666666667,1.2623126923762957,14.8,10.4,67.0,9.55,3.506666666666667,184.9,7,-0.4999999999999998,-0.8660254037844388,0.9485747519359676,46.0518,11.4539
IT0703A,2023-08-01,2023,8,10.3,8.55,8.97,9.06,8.860000000000001,0.2722131517780904,13.8,11.0,57.6,11.729032258064516,3.825806451612903,123.4,8,-0.8660254037844384,-0.5000000000000004,0.9485747519359676,46.0518,11.4539
IT0703A,2023-09-01,2023,9,11.5,10.3,8.55,8.97,9.273333333333333,0.9135826910216165,15.2,15.2,44.1,11.63225806451613,3.7838709677419353,169.3,9,-1.0,-1.8369701987210297e-16,0.9485747519359676,46.0518,11.4539
IT0703A,2023-10-01,2023,10,12.6,11.5,10.3,8.55,10.116666666666667,1.4835205874319044,18.2,18.9,26.9,9.373333333333331,3.6666666666666665,62.9,10,-0.8660254037844386,0.5000000000000001,0.9485747519359676,46.0518,11.4539
IT0703A,2023-11-01,2023,11,20.6,12.6,11.5,10.3,11.466666666666667,1.150362261782917,19.8,26.2,16.0,6.061290322580645,3.9935483870967743,198.4,11,-0.5000000000000004,0.8660254037844384,0.9485747519359676,46.0518,11.4539
IT0703A,2023-12-01,2023,12,20.9,20.6,12.6,11.5,14.9,4.966890375275159,27.4,31.8,11.4,-3.2066666666666666,4.7,103.0,12,-2.4492935982947064e-16,1.0,0.9485747519359676,46.0518,11.4539
IT0703A,2024-01-01,2024,1,18.2,20.9,20.6,12.6,18.033333333333335,4.707794954470123,30.3,34.4,11.9,-3.5774193548387094,4.212903225806452,84.7,1,0.49999999999999994,0.8660254037844387,0.9485747519359676,46.0518,11.4539
IT0703A,2024-02-01,2024,2,11.2,18.2,20.9,20.6,19.900000000000002,1.4798648586952206,32.0,28.0,23.7,-5.490322580645161,4.054838709677419,86.8,2,0.8660254037844386,0.5000000000000001,0.9485747519359676,46.0518,11.4539
IT0703A,2024-03-01,2024,3,9.76,11.2,18.2,20.9,16.766666666666666,5.006329327295034,15.8,17.4,46.1,-1.7275862068965515,4.334482758620689,203.2,3,1.0,6.123233995736766e-17,0.9485747519359676,46.0518,11.4539
IT0703A,2024-04-01,2024,4,6.97,9.76,11.2,18.2,13.053333333333333,4.5149234028202905,13.7,13.7,60.2,-2.1838709677419357,4.470967741935484,180.0,4,0.8660254037844387,-0.49999999999999983,0.9485747519359676,46.0518,11.4539
IT0703A,2024-05-01,2024,5,12.8,6.97,9.76,11.2,9.31,2.150604566162971,9.28,9.68,54.5,1.8166666666666669,4.706666666666666,117.5,5,0.49999999999999994,-0.8660254037844387,0.9485747519359676,46.0518,11.4539
IT0703A,2024-06-01,2024,6,15.4,12.8,6.97,9.76,9.843333333333334,2.9158932307844116,17.8,8.7,58.5,4.199999999999999,3.864516129032258,343.2,6,1.2246467991473532e-16,-1.0,0.9485747519359676,46.0518,11.4539
IT0703A,2024-07-01,2024,7,12.4,15.4,12.8,6.97,11.723333333333334,4.316900894546265,17.8,9.52,62.7,9.37,3.8966666666666665,190.3,7,-0.4999999999999998,-0.8660254037844388,0.9485747519359676,46.0518,11.4539
IT0703A,2024-08-01,2024,8,9.15,12.4,15.4,12.8,13.533333333333333,1.628905563049719,20.7,10.7,58.7,12.687096774193549,3.529032258064516,168.4,8,-0.8660254037844384,-0.5000000000000004,0.9485747519359676,46.0518,11.4539
IT0703A,2024-09-01,2024,9,10.6,9.15,12.4,15.4,12.316666666666668,3.125833222252002,12.7,15.3,41.4,13.774193548387096,3.3129032258064517,60.5,9,-1.0,-1.8369701987210297e-16,0.9485747519359676,46.0518,11.4539
IT0703A,2024-10-01,2024,10,20.4,10.6,9.15,12.4,10.716666666666669,1.6281379957897761,16.9,14.4,15.3,6.176666666666666,4.8966666666666665,266.8,10,-0.8660254037844386,0.5000000000000001,0.9485747519359676,46.0518,11.4539
