eoi_code,Year,Month,Temp_Mean,Wind_Speed,Precipitation
IT1110A,2025,3,10.538709677419355,10.73225806451613,217.29999999999998
IT1110A,2025,4,13.17,8.13,100.8
IT1110A,2025,5,16.125806451612902,6.751612903225807,109.7
IT1110A,2025,6,24.116666666666667,7.163333333333333,8.5
IT1110A,2025,7,23.85483870967742,7.803225806451613,92.0
IT1110A,2025,8,24.451612903225808,6.893548387096774,99.9
IT1110A,2025,9,19.64,6.663333333333333,145.8
IT1110A,2025,10,15.374193548387098,10.100000000000001,93.1
IT1110A,2025,11,10.593333333333334,9.366666666666667,79.0
IT1110A,2025,12,8.006451612903225,6.932258064516129,143.29999999999998
IT1016A,2020,1,2.638709677419355,6.4,15.799999999999999
IT1016A,2020,2,6.906896551724138,9.048275862068964,15.0
IT1016A,2020,3,8.319354838709677,8.829032258064515,105.1
IT1016A,2020,4,13.406666666666666,7.906666666666666,61.099999999999994
IT1016A,2020,5,18.003225806451614,9.087096774193547,114.4
IT1016A,2020,6,20.39333333333333,7.5233333333333325,130.6
IT1016A,2020,7,24.016129032258064,7.051612903225807,89.4
IT1016A,2020,8,23.990322580645163,7.132258064516129,186.1
IT1016A,2020,9,19.220000000000002,6.86,120.7
IT1016A,2020,10,12.448387096774193,7.45483870967742,174.4
IT1016A,2020,11,8.196666666666667,5.0633333333333335,7.4
IT1016A,2020,12,3.609677419354839,5.541935483870967,191.7
IT1016A,2021,1,1.967741935483871,7.119354838709677,128.8
IT1016A,2021,2,6.296428571428572,6.617857142857143,63.1
IT1016A,2021,3,8.619354838709677,8.219354838709679,4.1
IT1016A,2021,4,11.479999999999999,9.336666666666668,77.6
IT1016A,2021,5,15.474193548387097,9.464516129032257,89.4
IT1016A,2021,6,24.046666666666667,8.39,25.7
IT1016A,2021,7,23.019354838709678,7.467741935483871,196.79999999999998
IT1016A,2021,8,22.835483870967742,7.16774193548387,87.10000000000001
IT1016A,2021,9,20.403333333333332,6.739999999999999,99.4
IT1016A,2021,10,12.51290322580645,6.84516129032258,72.10000000000001
IT1016A,2021,11,7.613333333333333,7.1033333333333335,158.2
IT1016A,2021,12,2.106451612903226,6.909677419354838,32.300000000000004
IT1016A,2022,1,2.551612903225806,8.287096774193548,10.2
IT1016A,2022,2,6.060714285714285,9.153571428571428,22.400000000000002
IT1016A,2022,3,8.09032258064516,7.525806451612904,6.6
IT1016A,2022,4,12.453333333333335,9.106666666666666,42.8
IT1016A,2022,5,19.54516129032258,8.129032258064516,94.5
IT1016A,2022,6,24.283333333333335,8.79,79.8
IT1016A,2022,7,27.687096774193545,8.619354838709677,53.4
IT1016A,2022,8,25.029032258064515,7.541935483870968,79.10000000000001
IT1016A,2022,9,18.986666666666668,7.713333333333334,169.29999999999998
IT1016A,2022,10,16.241935483870968,6.051612903225807,155.5
IT1016A,2022,11,8.729999999999999,6.739999999999999,116.9
IT1016A,2022,12,4.300000000000001,5.829032258064516,93.5
IT1016A,2023,1,4.267741935483872,6.941935483870968,65.9
IT1016A,2023,2,5.410714285714286,8.257142857142858,13.5
IT1016A,2023,3,9.932258064516128,8.435483870967742,38.0
IT1016A,2023,4,12.333333333333334,8.733333333333333,81.6
IT1016A,2023,5,16.635483870967743,7.764516129032257,204.4
IT1016A,2023,6,21.89,7.47,117.4
IT1016A,2023,7,23.677419354838708,6.783870967741936,158.1
IT1016A,2023,8,24.26774193548387,8.461290322580645,183.7
IT1016A,2023,9,20.123333333333335,6.483333333333333,153.0
IT1016A,2023,10,16.07741935483871,6.790322580645161,181.9
IT1016A,2023,11,7.8100000000000005,8.486666666666666,93.3
IT1016A,2023,12,4.800000000000001,7.167741935483871,59.099999999999994
IT1016A,2024,1,2.661290322580645,6.561290322580645,49.8
IT1016A,2024,2,7.486206896551724,7.503448275862069,218.3
IT1016A,2024,3,9.980645161290322,9.174193548387096,241.0
IT1016A,2024,4,12.6,9.066666666666666,80.0
IT1016A,2024,5,16.03548387096774,6.800000000000001,402.2
IT1016A,2024,6,20.253333333333334,7.013333333333334,176.1
IT1016A,2024,7,24.23548387096774,6.196774193548387,130.0
IT1016A,2024,8,25.532258064516128,5.922580645161291,63.0
IT1016A,2024,9,18.303333333333335,9.07,180.29999999999998
IT1016A,2024,10,14.687096774193549,7.190322580645161,259.1
IT1016A,2024,11,6.946666666666667,4.833333333333333,12.2
IT1016A,2024,12,3.435483870967742,5.132258064516129,24.599999999999998
IT1016A,2025,1,3.838709677419355,4.264516129032257,142.4
IT1016A,2025,2,5.585714285714286,4.203571428571428,66.9
IT1016A,2025,3,9.64516129032258,5.725806451612903,128.5
IT1016A,2025,4,14.19,6.569999999999999,150.29999999999998
IT1016A,2025,5,17.451612903225808,6.451612903225806,212.1
IT1016A,2025,6,25.33,5.993333333333334,79.6
IT1016A,2025,7,23.79032258064516,5.906451612903226,92.39999999999999
IT1016A,2025,8,24.05806451612903,5.709677419354839,240.6
IT1016A,2025,9,18.62,4.696666666666667,218.7
IT1016A,2025,10,13.680645161290323,4.767741935483872,50.9
IT1016A,2025,11,7.7,4.943333333333333,97.2
IT1016A,2025,12,5.577419354838709,4.241935483870968,67.0
IT0912A,2020,1,2.725806451612903,6.190322580645161,34.9
IT0912A,2020,2,7.244827586206896,8.551724137931034,12.0
IT0912A,2020,3,8.503225806451614,10.19032258064516,73.7
IT0912A,2020,4,13.783333333333333,10.67,36.0
IT0912A,2020,5,19.083870967741937,10.219354838709679,69.2
IT0912A,2020,6,21.77,8.82,102.30000000000001
IT0912A,2020,7,25.69677419354839,10.041935483870969,37.1
IT0912A,2020,8,25.16774193548387,7.535483870967742,79.5
IT0912A,2020,9,20.15,6.943333333333333,117.7
IT0912A,2020,10,13.151612903225805,7.006451612903225,147.3
IT0912A,2020,11,8.596666666666666,5.8566666666666665,12.600000000000001
IT0912A,2020,12,3.593548387096774,6.603225806451612,186.9
IT0912A,2021,1,1.4258064516129034,7.251612903225807,114.2
IT0912A,2021,2,6.925,7.992857142857143,50.2
IT0912A,2021,3,8.754838709677419,8.683870967741935,4.4
IT0912A,2021,4,11.686666666666667,10.860000000000001,53.6
IT0912A,2021,5,16.151612903225807,9.087096774193547,76.0
IT0912A,2021,6,24.333333333333332,9.406666666666666,9.5
IT0912A,2021,7,24.79032258064516,7.745161290322581,61.5
IT0912A,2021,8,24.616129032258065,9.170967741935485,56.7
IT0912A,2021,9,20.953333333333333,7.153333333333333,54.8
IT0912A,2021,10,12.951612903225806,7.293548387096774,51.6
IT0912A,2021,11,7.930000000000001,8.453333333333333,167.0
IT0912A,2021,12,1.9451612903225808,6.435483870967742,38.6
IT0912A,2022,1,2.4612903225806453,7.593548387096774,20.1
IT0912A,2022,2,5.903571428571429,7.771428571428571,19.4
IT0912A,2022,3,8.02258064516129,9.64516129032258,4.3
IT0912A,2022,4,12.776666666666667,10.7,24.7
IT0912A,2022,5,19.687096774193545,10.280645161290321,62.300000000000004
IT0912A,2022,6,24.44333333333333,9.163333333333332,29.5
IT0912A,2022,7,27.848387096774193,9.158064516129032,20.6
IT0912A,2022,8,25.483870967741936,8.125806451612904,65.80000000000001
IT0912A,2022,9,19.653333333333332,7.526666666666667,92.9
IT0912A,2022,10,16.81935483870968,6.048387096774194,85.0
IT0912A,2022,11,8.9,6.3100000000000005,81.9
IT0912A,2022,12,4.961290322580646,6.270967741935484,98.60000000000001
IT0912A,2023,1,4.435483870967742,6.858064516129032,53.7
IT0912A,2023,2,5.8999999999999995,10.107142857142858,9.4
IT0912A,2023,3,10.425806451612903,8.764516129032257,13.9
IT0912A,2023,4,12.683333333333334,8.856666666666666,101.9
IT0912A,2023,5,17.229032258064517,9.548387096774194,161.5
IT0912A,2023,6,23.026666666666664,7.763333333333334,94.7
IT0912A,2023,7,24.845161290322583,7.767741935483872,79.0
IT0912A,2023,8,25.738709677419354,7.735483870967743,61.5
IT0912A,2023,9,21.279999999999998,7.209999999999999,44.4
IT0912A,2023,10,17.248387096774195,8.283870967741937,137.9
IT0912A,2023,11,7.906666666666666,7.156666666666666,97.5
IT0912A,2023,12,4.903225806451613,6.570967741935483,46.0
IT0912A,2024,1,3.425806451612903,6.870967741935484,59.1
IT0912A,2024,2,8.23793103448276,7.872413793103449,118.8
IT0912A,2024,3,10.100000000000001,8.758064516129032,191.1
IT0912A,2024,4,13.053333333333335,9.416666666666666,68.6
IT0912A,2024,5,16.551612903225806,7.074193548387097,205.7
IT0912A,2024,6,20.61,8.18,187.6
IT0912A,2024,7,25.093548387096774,7.106451612903226,20.8
IT0912A,2024,8,26.103225806451615,6.241935483870968,52.4
IT0912A,2024,9,18.836666666666666,8.226666666666667,91.6
IT0912A,2024,10,15.54516129032258,7.416129032258064,197.9
IT0912A,2024,11,7.576666666666667,5.24,6.6
IT0912A,2024,12,3.435483870967742,5.870967741935484,36.5
IT0912A,2025,1,3.864516129032258,5.764516129032258,99.3
IT0912A,2025,2,5.617857142857143,5.778571428571429,67.3
IT0912A,2025,3,9.351612903225806,6.651612903225806,122.1
IT0912A,2025,4,13.626666666666667,8.506666666666668,107.1
IT0912A,2025,5,17.080645161290324,6.919354838709677,126.39999999999999
IT0912A,2025,6,24.61,7.41,22.0
IT0912A,2025,7,23.91290322580645,6.532258064516129,104.7
IT0912A,2025,8,24.18064516129032,6.464516129032258,174.20000000000002
IT0912A,2025,9,18.990000000000002,4.92,101.3
IT0912A,2025,10,13.44516129032258,5.464516129032258,40.0
IT0912A,2025,11,7.48,5.206666666666666,87.4
IT0912A,2025,12,5.861290322580645,6.961290322580646,86.10000000000001
IT1743A,2020,1,2.706451612903226,6.04516129032258,26.400000000000002
IT1743A,2020,2,7.106896551724137,8.527586206896553,14.0
IT1743A,2020,3,8.461290322580645,7.651612903225806,94.0
IT1743A,2020,4,13.833333333333334,7.506666666666666,38.6
IT1743A,2020,5,18.129032258064516,8.474193548387097,98.0
IT1743A,2020,6,20.433333333333334,6.78,240.3
IT1743A,2020,7,23.861290322580647,6.27741935483871,84.4
IT1743A,2020,8,23.77741935483871,6.254838709677419,165.39999999999998
IT1743A,2020,9,19.32,6.1933333333333325,130.7
IT1743A,2020,10,12.44516129032258,6.706451612903226,151.5
IT1743A,2020,11,8.28,4.61,8.8
IT1743A,2020,12,3.990322580645161,5.567741935483871,206.5
IT1743A,2021,1,2.070967741935484,6.412903225806452,113.7
IT1743A,2021,2,6.642857142857143,6.578571428571428,66.8
IT1743A,2021,3,8.751612903225807,7.17741935483871,6.5
IT1743A,2021,4,11.620000000000001,7.760000000000001,82.1
IT1743A,2021,5,15.609677419354838,7.880645161290323,123.4
IT1743A,2021,6,23.56,7.066666666666666,26.099999999999998
IT1743A,2021,7,23.425806451612903,6.838709677419355,271.5
IT1743A,2021,8,23.35483870967742,6.761290322580645,77.7
IT1743A,2021,9,20.65666666666667,6.366666666666666,105.7
IT1743A,2021,10,12.616129032258065,5.877419354838709,74.2
IT1743A,2021,11,7.9399999999999995,6.483333333333333,177.8
IT1743A,2021,12,2.361290322580645,5.864516129032259,26.5
IT1743A,2022,1,2.454838709677419,6.706451612903226,11.100000000000001
IT1743A,2022,2,6.385714285714286,8.221428571428572,25.099999999999998
IT1743A,2022,3,8.167741935483871,7.17741935483871,10.1
IT1743A,2022,4,12.66,8.29,60.1
IT1743A,2022,5,19.79032258064516,7.574193548387097,65.7
IT1743A,2022,6,24.720000000000002,7.593333333333334,72.9
IT1743A,2022,7,27.951612903225808,8.03225806451613,14.8
IT1743A,2022,8,25.43548387096774,6.893548387096774,101.6
IT1743A,2022,9,19.16,7.173333333333333,168.8
IT1743A,2022,10,16.693548387096776,5.816129032258065,92.3
IT1743A,2022,11,8.843333333333334,5.73,106.4
IT1743A,2022,12,4.680645161290323,5.174193548387097,102.3
IT1743A,2023,1,4.483870967741935,6.151612903225806,64.0
